target,horizon_reports,model,feature,importance
hhs_discharges,1,gradient_boosting,hhs_care_rolling_variance_14_reports,0.0
hhs_discharges,1,gradient_boosting,hhs_discharges_lag_1_reports,0.0
hhs_discharges,1,gradient_boosting,hhs_discharges_lag_7_reports,0.0
hhs_discharges,1,gradient_boosting,hhs_discharges_lag_14_reports,0.0011822321074770564
hhs_discharges,1,gradient_boosting,hhs_discharges_rolling_mean_7_reports,0.0
hhs_discharges,1,gradient_boosting,hhs_discharges_rolling_variance_7_reports,0.0
hhs_discharges,1,gradient_boosting,hhs_discharges_rolling_mean_14_reports,0.11123191134253119
hhs_discharges,1,gradient_boosting,hhs_discharges_rolling_variance_14_reports,0.0
hhs_discharges,1,gradient_boosting,net_hhs_flow_lag_1_reports,0.0
hhs_discharges,1,gradient_boosting,net_hhs_flow_lag_7_reports,0.0
hhs_discharges,1,gradient_boosting,net_hhs_flow_lag_14_reports,0.0
hhs_discharges,1,gradient_boosting,net_hhs_flow_rolling_mean_7_reports,0.0
hhs_discharges,1,gradient_boosting,net_hhs_flow_rolling_variance_7_reports,0.0
hhs_discharges,1,gradient_boosting,net_hhs_flow_rolling_mean_14_reports,0.0
hhs_discharges,1,gradient_boosting,net_hhs_flow_rolling_variance_14_reports,0.0
hhs_discharges,1,gradient_boosting,day_of_week,0.018992922200863373
hhs_discharges,1,gradient_boosting,month,0.0
hhs_discharges,1,gradient_boosting,is_weekend,0.0
hhs_discharges,1,gradient_boosting,is_us_federal_holiday,0.0
hhs_discharges,7,random_forest,cbp_apprehensions,0.0032630755099182516
hhs_discharges,7,random_forest,cbp_care,0.0022841598626794886
hhs_discharges,7,random_forest,cbp_transfers_to_hhs,0.0015455563797917482
hhs_discharges,7,random_forest,hhs_care,0.577187437946004
hhs_discharges,7,random_forest,hhs_discharges,0.006522833168054233
hhs_discharges,7,random_forest,net_hhs_flow,0.0020072230728412554
hhs_discharges,7,random_forest,days_since_previous_report,0.00023428373468637105
hhs_discharges,7,random_forest,hhs_care_lag_1_reports,0.24986123790601514
hhs_discharges,7,random_forest,hhs_care_lag_7_reports,0.0036152926528676523
hhs_discharges,7,random_forest,hhs_care_lag_14_reports,0.005254683580215289
hhs_discharges,7,random_forest,hhs_care_rolling_mean_7_reports,0.01675189537092947
hhs_discharges,7,random_forest,hhs_care_rolling_variance_7_reports,0.0037032491384746194
hhs_discharges,7,random_forest,hhs_care_rolling_mean_14_reports,0.03763502099395703
hhs_discharges,7,random_forest,hhs_care_rolling_variance_14_reports,0.002554165005083912
hhs_discharges,7,random_forest,hhs_discharges_lag_1_reports,0.004767491774200507
hhs_discharges,7,random_forest,hhs_discharges_lag_7_reports,0.009241826122430113
hhs_discharges,7,random_forest,hhs_discharges_lag_14_reports,0.0029454704562603055
hhs_discharges,7,random_forest,hhs_discharges_rolling_mean_7_reports,0.002623461827946157
hhs_discharges,7,random_forest,hhs_discharges_rolling_variance_7_reports,0.004413607532091782
hhs_discharges,7,random_forest,hhs_discharges_rolling_mean_14_reports,0.005455709820395871
hhs_discharges,7,random_forest,hhs_discharges_rolling_variance_14_reports,0.0030072893080063255
hhs_discharges,7,random_forest,net_hhs_flow_lag_1_reports,0.003160759787328906
hhs_discharges,7,random_forest,net_hhs_flow_lag_7_reports,0.0032833277865261593
hhs_discharges,7,random_forest,net_hhs_flow_lag_14_reports,0.0042454927821325645
hhs_discharges,7,random_forest,net_hhs_flow_rolling_mean_7_reports,0.0029950964052499877
hhs_discharges,7,random_forest,net_hhs_flow_rolling_variance_7_reports,0.0035440225567736536
hhs_discharges,7,random_forest,net_hhs_flow_rolling_mean_14_reports,0.001994719521417285
hhs_discharges,7,random_forest,net_hhs_flow_rolling_variance_14_reports,0.002226924447806055
hhs_discharges,7,random_forest,day_of_week,0.025030210436313805
hhs_discharges,7,random_forest,month,0.008489567346877147
hhs_discharges,7,random_forest,is_weekend,0.00015490776672483298
hhs_discharges,7,random_forest,is_us_federal_holiday,0.0
hhs_discharges,7,gradient_boosting,cbp_apprehensions,0.0127556320605445
hhs_discharges,7,gradient_boosting,cbp_care,0.0
hhs_discharges,7,gradient_boosting,cbp_transfers_to_hhs,0.0
hhs_discharges,7,gradient_boosting,hhs_care,0.5013862931987865
hhs_discharges,7,gradient_boosting,hhs_discharges,0.0
hhs_discharges,7,gradient_boosting,net_hhs_flow,0.0
hhs_discharges,7,gradient_boosting,days_since_previous_report,0.0
hhs_discharges,7,gradient_boosting,hhs_care_lag_1_reports,0.2831066018616806
hhs_discharges,7,gradient_boosting,hhs_care_lag_7_reports,0.0
hhs_discharges,7,gradient_boosting,hhs_care_lag_14_reports,0.0
hhs_discharges,7,gradient_boosting,hhs_care_rolling_mean_7_reports,0.003603710138938204
hhs_discharges,7,gradient_boosting,hhs_care_rolling_variance_7_reports,0.0
hhs_discharges,7,gradient_boosting,hhs_care_rolling_mean_14_reports,0.016509916301508165
hhs_discharges,7,gradient_boosting,hhs_care_rolling_variance_14_reports,0.0
hhs_discharges,7,gradient_boosting,hhs_discharges_lag_1_reports,0.0
hhs_discharges,7,gradient_boosting,hhs_discharges_lag_7_reports,0.009554324137568265
hhs_discharges,7,gradient_boosting,hhs_discharges_lag_14_reports,0.0
hhs_discharges,7,gradient_boosting,hhs_discharges_rolling_mean_7_reports,0.07145077494250568
hhs_discharges,7,gradient_boosting,hhs_discharges_rolling_variance_7_reports,0.010803763601566145
hhs_discharges,7,gradient_boosting,hhs_discharges_rolling_mean_14_reports,0.06760766312353882
hhs_discharges,7,gradient_boosting,hhs_discharges_rolling_variance_14_reports,0.0
hhs_discharges,7,gradient_boosting,net_hhs_flow_lag_1_reports,0.0
hhs_discharges,7,gradient_boosting,net_hhs_flow_lag_7_reports,0.0
hhs_discharges,7,gradient_boosting,net_hhs_flow_lag_14_reports,0.0
hhs_discharges,7,gradient_boosting,net_hhs_flow_rolling_mean_7_reports,0.0
hhs_discharges,7,gradient_boosting,net_hhs_flow_rolling_variance_7_reports,0.0
hhs_discharges,7,gradient_boosting,net_hhs_flow_rolling_mean_14_reports,0.0
hhs_discharges,7,gradient_boosting,net_hhs_flow_rolling_variance_14_reports,0.0
hhs_discharges,7,gradient_boosting,day_of_week,0.021064169986980092
hhs_discharges,7,gradient_boosting,month,0.0021571506463831202
hhs_discharges,7,gradient_boosting,is_weekend,0.0
hhs_discharges,7,gradient_boosting,is_us_federal_holiday,0.0
hhs_discharges,14,random_forest,cbp_apprehensions,0.0044333648150673925
hhs_discharges,14,random_forest,cbp_care,0.0034966174829276692
hhs_discharges,14,random_forest,cbp_transfers_to_hhs,0.004547559555146124
hhs_discharges,14,random_forest,hhs_care,0.44677144424997534
